# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
hex4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,3.3-V LVTTL,,,,,
hex4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,3.3-V LVTTL,,,,,
hex4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,3.3-V LVTTL,,,,,
hex4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,3.3-V LVTTL,,,,,
hex4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,3.3-V LVTTL,,,,,
hex4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,3.3-V LVTTL,,,,,
hex4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,3.3-V LVTTL,,,,,
hex5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,3.3-V LVTTL,,,,,
hex5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,3.3-V LVTTL,,,,,
hex5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,3.3-V LVTTL,,,,,
hex5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,3.3-V LVTTL,,,,,
hex5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,3.3-V LVTTL,,,,,
hex5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,3.3-V LVTTL,,,,,
hex5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,3.3-V LVTTL,,,,,
hex6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,3.3-V LVTTL,,,,,
hex6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,3.3-V LVTTL,,,,,
hex6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,3.3-V LVTTL,,,,,
hex6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,3.3-V LVTTL,,,,,
hex6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,3.3-V LVTTL,,,,,
hex6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,3.3-V LVTTL,,,,,
hex6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,3.3-V LVTTL,,,,,
hex7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,3.3-V LVTTL,,,,,
hex7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,3.3-V LVTTL,,,,,
hex7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,3.3-V LVTTL,,,,,
hex7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,3.3-V LVTTL,,,,,
hex7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,3.3-V LVTTL,,,,,
hex7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,3.3-V LVTTL,,,,,
hex7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,3.3-V LVTTL,,,,,
keys[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
keys[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
keys[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
keys[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
ledg[8],Output,PIN_F17,7,B7_N2,PIN_F17,2.5 V,,,,,
ledg[7],Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,
ledg[6],Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,
ledg[5],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
ledg[4],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,
ledg[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
ledg[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
ledg[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
ledg[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
ledr[17],Output,PIN_H15,7,B7_N2,PIN_H15,2.5 V,,,,,
ledr[16],Output,PIN_G16,7,B7_N2,PIN_G16,2.5 V,,,,,
ledr[15],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
ledr[14],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,
ledr[13],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,
ledr[12],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,
ledr[11],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
ledr[10],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
ledr[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
ledr[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
ledr[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
ledr[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
ledr[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
ledr[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
ledr[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
ledr[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
ledr[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
ledr[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
rx,Input,PIN_G12,8,B8_N1,PIN_G12,3.3-V LVTTL,,,,,
sram_addr[19],Output,PIN_T8,2,B2_N1,PIN_T8,3.3-V LVTTL,,,,,
sram_addr[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,3.3-V LVTTL,,,,,
sram_addr[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,3.3-V LVTTL,,,,,
sram_addr[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,3.3-V LVTTL,,,,,
sram_addr[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,3.3-V LVTTL,,,,,
sram_addr[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,3.3-V LVTTL,,,,,
sram_addr[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,3.3-V LVTTL,,,,,
sram_addr[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,3.3-V LVTTL,,,,,
sram_addr[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,3.3-V LVTTL,,,,,
sram_addr[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,3.3-V LVTTL,,,,,
sram_addr[9],Output,PIN_T7,2,B2_N0,PIN_T7,3.3-V LVTTL,,,,,
sram_addr[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,3.3-V LVTTL,,,,,
sram_addr[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,3.3-V LVTTL,,,,,
sram_addr[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,3.3-V LVTTL,,,,,
sram_addr[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,3.3-V LVTTL,,,,,
sram_addr[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,3.3-V LVTTL,,,,,
sram_addr[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,3.3-V LVTTL,,,,,
sram_addr[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,3.3-V LVTTL,,,,,
sram_addr[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,3.3-V LVTTL,,,,,
sram_addr[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,3.3-V LVTTL,,,,,
sram_ce_n,Output,PIN_AF8,3,B3_N1,PIN_AF8,3.3-V LVTTL,,,,,
sram_dq[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,3.3-V LVTTL,,,,,
sram_dq[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,3.3-V LVTTL,,,,,
sram_dq[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,3.3-V LVTTL,,,,,
sram_dq[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,3.3-V LVTTL,,,,,
sram_dq[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,3.3-V LVTTL,,,,,
sram_dq[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,3.3-V LVTTL,,,,,
sram_dq[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,3.3-V LVTTL,,,,,
sram_dq[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,3.3-V LVTTL,,,,,
sram_dq[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,3.3-V LVTTL,,,,,
sram_dq[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,3.3-V LVTTL,,,,,
sram_dq[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,3.3-V LVTTL,,,,,
sram_dq[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,3.3-V LVTTL,,,,,
sram_dq[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,3.3-V LVTTL,,,,,
sram_dq[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,3.3-V LVTTL,,,,,
sram_dq[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,3.3-V LVTTL,,,,,
sram_dq[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,3.3-V LVTTL,,,,,
sram_lb_n,Output,PIN_AD4,3,B3_N2,PIN_AD4,3.3-V LVTTL,,,,,
sram_oe_n,Output,PIN_AD5,3,B3_N2,PIN_AD5,3.3-V LVTTL,,,,,
sram_ub_n,Output,PIN_AC4,2,B2_N2,PIN_AC4,3.3-V LVTTL,,,,,
sram_we_n,Output,PIN_AE8,3,B3_N1,PIN_AE8,3.3-V LVTTL,,,,,
switches[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,3.3-V LVTTL,,,,,
switches[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,3.3-V LVTTL,,,,,
switches[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,3.3-V LVTTL,,,,,
switches[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,3.3-V LVTTL,,,,,
switches[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,3.3-V LVTTL,,,,,
switches[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,3.3-V LVTTL,,,,,
switches[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,3.3-V LVTTL,,,,,
switches[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,3.3-V LVTTL,,,,,
switches[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,3.3-V LVTTL,,,,,
switches[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,3.3-V LVTTL,,,,,
switches[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,3.3-V LVTTL,,,,,
switches[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,3.3-V LVTTL,,,,,
switches[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,3.3-V LVTTL,,,,,
switches[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,3.3-V LVTTL,,,,,
switches[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,3.3-V LVTTL,,,,,
switches[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,3.3-V LVTTL,,,,,
switches[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,3.3-V LVTTL,,,,,
switches[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,3.3-V LVTTL,,,,,
tx,Output,PIN_G9,8,B8_N2,PIN_G9,3.3-V LVTTL,,,,,
vga_dac_b[7],Output,PIN_D12,8,B8_N0,PIN_D12,3.3-V LVTTL,,,,,
vga_dac_b[6],Output,PIN_D11,8,B8_N1,PIN_D11,3.3-V LVTTL,,,,,
vga_dac_b[5],Output,PIN_C12,8,B8_N0,PIN_C12,3.3-V LVTTL,,,,,
vga_dac_b[4],Output,PIN_A11,8,B8_N0,PIN_A11,3.3-V LVTTL,,,,,
vga_dac_b[3],Output,PIN_B11,8,B8_N0,PIN_B11,3.3-V LVTTL,,,,,
vga_dac_b[2],Output,PIN_C11,8,B8_N1,PIN_C11,3.3-V LVTTL,,,,,
vga_dac_b[1],Output,PIN_A10,8,B8_N0,PIN_A10,3.3-V LVTTL,,,,,
vga_dac_b[0],Output,PIN_B10,8,B8_N0,PIN_B10,3.3-V LVTTL,,,,,
vga_dac_blank_n,Output,PIN_F11,8,B8_N1,PIN_F11,3.3-V LVTTL,,,,,
vga_dac_clk,Output,PIN_A12,8,B8_N0,PIN_A12,3.3-V LVTTL,,,,,
vga_dac_g[7],Output,PIN_C9,8,B8_N1,PIN_C9,3.3-V LVTTL,,,,,
vga_dac_g[6],Output,PIN_F10,8,B8_N1,PIN_F10,3.3-V LVTTL,,,,,
vga_dac_g[5],Output,PIN_B8,8,B8_N1,PIN_B8,3.3-V LVTTL,,,,,
vga_dac_g[4],Output,PIN_C8,8,B8_N1,PIN_C8,3.3-V LVTTL,,,,,
vga_dac_g[3],Output,PIN_H12,8,B8_N1,PIN_H12,3.3-V LVTTL,,,,,
vga_dac_g[2],Output,PIN_F8,8,B8_N2,PIN_F8,3.3-V LVTTL,,,,,
vga_dac_g[1],Output,PIN_G11,8,B8_N1,PIN_G11,3.3-V LVTTL,,,,,
vga_dac_g[0],Output,PIN_G8,8,B8_N2,PIN_G8,3.3-V LVTTL,,,,,
vga_dac_r[7],Output,PIN_H10,8,B8_N1,PIN_H10,3.3-V LVTTL,,,,,
vga_dac_r[6],Output,PIN_H8,8,B8_N2,PIN_H8,3.3-V LVTTL,,,,,
vga_dac_r[5],Output,PIN_J12,8,B8_N0,PIN_J12,3.3-V LVTTL,,,,,
vga_dac_r[4],Output,PIN_G10,8,B8_N1,PIN_G10,3.3-V LVTTL,,,,,
vga_dac_r[3],Output,PIN_F12,8,B8_N1,PIN_F12,3.3-V LVTTL,,,,,
vga_dac_r[2],Output,PIN_D10,8,B8_N1,PIN_D10,3.3-V LVTTL,,,,,
vga_dac_r[1],Output,PIN_E11,8,B8_N1,PIN_E11,3.3-V LVTTL,,,,,
vga_dac_r[0],Output,PIN_E12,8,B8_N1,PIN_E12,3.3-V LVTTL,,,,,
vga_dac_sync_n,Output,PIN_C10,8,B8_N0,PIN_C10,3.3-V LVTTL,,,,,
vga_hsync,Output,PIN_G13,8,B8_N0,PIN_G13,3.3-V LVTTL,,,,,
vga_vsync,Output,PIN_C13,8,B8_N0,PIN_C13,3.3-V LVTTL,,,,,
wm8731_bclk,Output,PIN_F2,1,B1_N1,PIN_F2,3.3-V LVTTL,,,,,
wm8731_dacdat,Output,PIN_D1,1,B1_N0,PIN_D1,3.3-V LVTTL,,,,,
wm8731_daclrck,Output,PIN_E3,1,B1_N0,PIN_E3,3.3-V LVTTL,,,,,
wm8731_sclk,Bidir,PIN_B7,8,B8_N1,PIN_B7,3.3-V LVTTL,,,,,
wm8731_sdat,Bidir,PIN_A8,8,B8_N1,PIN_A8,3.3-V LVTTL,,,,,
wm8731_xck,Output,PIN_E1,1,B1_N0,PIN_E1,3.3-V LVTTL,,,,,
